Date,Open,High,Low,Close,Volume,month,is_roll_switch,daily_change,typical_change,roll_gap,cum_adjustment,Adj_Close_Futures,futures_ret
2000-07-17,182.25,182.25,178.25,179.25,19385,7,True,,,0.0,1.125,180.375,
2000-07-18,179.0,183.25,179.0,180.75,25205,7,False,1.5,,0.0,1.125,181.875,0.008316008316008316
2000-07-19,180.0,182.75,178.75,182.0,17126,7,False,1.25,2.75,0.0,1.125,183.125,0.0068728522336769515
2000-07-20,181.5,187.0,181.0,186.0,18742,7,False,4.0,1.5,0.0,1.125,187.125,0.021843003412969297
2000-07-21,185.5,188.0,185.0,187.75,16814,7,False,1.75,0.375,0.0,1.125,188.875,0.009352037408149716
2000-07-24,187.75,189.5,183.75,184.5,14615,7,False,-3.25,0.0,0.0,1.125,185.625,-0.017207147584381244
2000-07-25,183.75,184.5,181.5,182.75,13883,7,False,-1.75,-2.75,0.0,1.125,183.875,-0.009427609427609451
2000-07-26,182.5,183.25,179.25,180.5,14762,7,False,-2.25,-0.625,0.0,1.125,181.625,-0.012236573759347391
2000-07-27,180.5,183.0,180.0,181.0,12353,7,False,0.5,-1.5,0.0,1.125,182.125,0.002752924982794225
2000-07-28,181.0,182.5,180.0,180.25,12850,7,False,-0.75,0.25,0.0,1.125,181.375,-0.0041180507892930596
2000-07-31,178.25,182.0,177.0,180.25,19481,7,False,0.0,-0.625,0.0,1.125,181.375,0.0
2000-08-01,180.25,181.5,179.0,179.75,16626,8,False,-0.5,0.375,0.0,1.125,180.875,-0.002756719503790528
2000-08-02,179.75,182.0,179.5,180.5,15230,8,False,0.75,-0.5,0.0,1.125,181.625,0.004146510020732519
2000-08-03,180.25,182.25,178.5,180.0,15137,8,False,-0.5,-0.25,0.0,1.125,181.125,-0.002752924982794225
2000-08-04,179.5,180.5,178.5,178.75,12389,8,False,-1.25,-0.75,0.0,1.125,179.875,-0.0069013112491372874
2000-08-07,178.75,180.0,177.5,177.75,12616,8,False,-1.0,0.25,0.0,1.125,178.875,-0.005559416261292527
2000-08-08,178.0,179.75,177.5,179.5,15584,8,False,1.75,-1.125,0.0,1.125,180.625,0.009783368273934334
2000-08-09,179.0,179.25,177.75,178.25,21466,8,False,-1.25,0.375,0.0,1.125,179.375,-0.00692041522491349
2000-08-10,178.0,179.5,177.0,177.25,17658,8,False,-1.0,-1.875,0.0,1.125,178.375,-0.0055749128919860835
2000-08-11,177.0,177.5,174.0,174.75,18551,8,False,-2.5,0.0,0.0,1.125,175.875,-0.014015416958654492
2000-08-14,174.5,176.25,174.0,175.75,14873,8,False,1.0,-1.25,0.0,1.125,176.875,0.005685856432125158
2000-08-15,175.75,176.25,174.75,175.75,8128,8,False,0.0,1.875,0.0,1.125,176.875,0.0
2000-08-16,175.5,179.25,175.5,178.5,20428,8,False,2.75,0.0,0.0,1.125,179.625,0.015547703180212036
2000-08-17,178.5,180.5,177.75,178.5,18718,8,False,0.0,0.875,0.0,1.125,179.625,0.0
2000-08-18,178.25,178.75,177.0,177.5,21695,8,False,-1.0,-0.625,0.0,1.125,178.625,-0.005567153792623514
2000-08-21,177.25,177.25,175.5,176.25,15683,8,False,-1.25,-0.875,0.0,1.125,177.375,-0.0069979006298110935
2000-08-22,176.25,177.5,175.25,175.5,18264,8,False,-0.75,-0.75,0.0,1.125,176.625,-0.0042283298097252064
2000-08-23,175.0,175.75,174.5,175.25,20807,8,False,-0.25,0.0,0.0,1.125,176.375,-0.0014154281670205604
2000-08-24,175.25,176.75,174.5,176.0,20764,8,False,0.75,0.125,0.0,1.125,177.125,0.00425230333097093
2000-08-25,175.75,178.25,175.75,176.5,21622,8,False,0.5,1.875,0.0,1.125,177.625,0.0028228652081863093
2000-08-28,180.25,181.5,178.0,179.5,20965,8,False,3.0,2.625,0.0,1.125,180.625,0.01688951442646025
2000-08-29,181.0,185.0,181.0,184.25,39334,8,False,4.75,0.125,0.0,1.125,185.375,0.02629757785467124
2000-08-30,183.25,184.75,181.25,181.5,117,8,False,-2.75,2.625,0.0,1.125,182.625,-0.014834794335805812
2000-08-31,180.75,182.0,180.75,182.0,32,8,False,0.5,-0.75,0.0,1.125,183.125,0.002737850787132068
2000-09-01,182.75,183.25,182.75,183.25,45,9,True,1.25,0.375,0.875,0.25,183.5,0.0020477815699657675
2000-09-05,184.0,186.0,183.5,183.5,2,9,False,0.25,2.0,0.0,0.25,183.75,0.0013623978201635634
2000-09-06,186.25,186.25,185.5,186.25,3,9,False,2.75,-2.5,0.0,0.25,186.5,0.014965986394557929
2000-09-07,181.5,181.5,181.0,181.0,3,9,False,-5.25,1.75,0.0,0.25,181.25,-0.02815013404825739
2000-09-08,181.5,181.5,181.0,181.75,3,9,False,0.75,-1.375,0.0,0.25,182.0,0.004137931034482678
2000-09-11,181.5,181.5,181.0,184.25,19,9,False,2.5,1.25,0.0,0.25,184.5,0.013736263736263687
2000-09-12,189.75,189.75,186.0,186.0,19,9,False,1.75,-0.5,0.0,0.25,186.25,0.009485094850948617
2000-09-13,189.75,189.75,186.0,182.5,1,9,False,-3.5,0.125,0.0,0.25,182.75,-0.018791946308724827
2000-09-14,181.0,181.0,181.0,181.0,5,9,False,-1.5,-0.25,0.0,0.25,181.25,-0.008207934336525335
2000-09-18,188.0,188.0,187.75,184.0,6,9,False,3.0,-0.25,0.0,0.25,184.25,0.016551724137930934
2000-09-19,185.0,185.0,185.0,185.0,6,9,False,1.0,0.75,0.0,0.25,185.25,0.005427408412483015
2000-09-20,185.0,185.0,185.0,183.5,6,9,False,-1.5,0.625,0.0,0.25,183.75,-0.0080971659919028
2000-09-21,185.0,185.0,185.0,183.75,6,9,False,0.25,0.5,0.0,0.25,184.0,0.0013605442176871652
2000-09-22,185.0,185.0,185.0,186.25,6,9,False,2.5,0.125,0.0,0.25,186.5,0.013586956521739024
2000-09-25,185.0,185.0,185.0,186.25,3,9,False,0.0,3.125,0.0,0.25,186.5,0.0
2000-09-26,190.0,190.0,190.0,190.0,3,9,False,3.75,0.25,0.0,0.25,190.25,0.020107238605898026
2000-09-27,190.0,190.0,190.0,190.5,3,9,False,0.5,1.875,0.0,0.25,190.75,0.0026281208935610145
2000-09-28,190.0,190.0,190.0,190.5,3,9,False,0.0,1.0,0.0,0.25,190.75,0.0
2000-09-29,190.0,190.0,190.0,192.0,3,9,False,1.5,0.0,0.0,0.25,192.25,0.007863695937090354
2000-10-02,190.0,190.0,190.0,192.0,3,10,False,0.0,2.375,0.0,0.25,192.25,0.0
2000-10-03,190.0,190.0,190.0,195.25,3,10,False,3.25,2.125,0.0,0.25,195.5,0.016905071521456483
2000-10-04,190.0,190.0,190.0,199.5,3,10,False,4.25,2.125,0.0,0.25,199.75,0.021739130434782705
2000-10-05,190.0,190.0,190.0,200.5,3,10,False,1.0,1.625,0.0,0.25,200.75,0.005006257822277815
2000-10-06,190.0,190.0,190.0,199.5,3,10,False,-1.0,0.5,0.0,0.25,199.75,-0.00498132004981322
2000-10-09,190.0,190.0,190.0,199.5,3,10,False,0.0,-1.5,0.0,0.25,199.75,0.0
2000-10-10,190.0,190.0,190.0,197.5,3,10,False,-2.0,1.125,0.0,0.25,197.75,-0.010012515644555742
2000-10-11,190.0,190.0,190.0,199.75,3,10,False,2.25,-0.625,0.0,0.25,200.0,0.011378002528444897
2000-10-12,190.0,190.0,190.0,200.5,3,10,False,0.75,2.875,0.0,0.25,200.75,0.00374999999999992
2000-10-13,190.0,190.0,190.0,204.0,3,10,False,3.5,0.375,0.0,0.25,204.25,0.01743462017434627
2000-10-16,190.0,190.0,190.0,204.0,2,10,False,0.0,1.375,0.0,0.25,204.25,0.0
2000-10-17,203.25,203.25,203.25,203.25,2,10,False,-0.75,-0.625,0.0,0.25,203.5,-0.003671970624234966
